test_name,graph_type,vertices,edges,python_time_ms,cpp_time_ms,speedup
Simple Cycle,euler_cycle,100,100,2.998594000018784,0.175434,17.09243362186796
Simple Cycle,euler_cycle,500,500,10.393521999503719,0.822833,12.631386927242488
Simple Cycle,euler_cycle,1000,1000,19.142709999869112,1.72854,11.074496395726516
Simple Cycle,euler_cycle,2000,2000,41.019416001290665,3.54586,11.568255938274683
Simple Cycle,euler_cycle,5000,5000,109.65933300030883,6.10311,17.96777921425451
Simple Cycle,euler_cycle,10000,10000,185.2943009998853,11.0065,16.83498850678102
Simple Cycle,euler_cycle,20000,20000,403.8767519996327,21.9637,18.388375000552397
Simple Cycle,euler_cycle,50000,50000,868.7713830004213,32.2769,26.916196505873284
Simple Cycle,euler_cycle,100000,100000,1814.6464259989443,109.292,16.603652838258466
Simple Path,euler_path,100,99,2.942760000223643,0.094413,31.169012744258133
Simple Path,euler_path,500,499,9.790561000045273,0.426375,22.962324245195596
Simple Path,euler_path,1000,999,18.455924999216222,1.09467,16.859807064426924
Simple Path,euler_path,2000,1999,30.64596400145092,1.69944,18.03297792299282
Simple Path,euler_path,5000,4999,78.46777400118299,4.274,18.359329434062467
Simple Path,euler_path,10000,9999,265.25269499870774,8.29097,31.992962825665483
Simple Path,euler_path,20000,19999,344.73842599982163,12.9832,26.55265466139485
Simple Path,euler_path,50000,49999,678.048777001095,33.5425,20.2146165909248
Simple Path,euler_path,100000,99999,1327.0453320001252,37.2778,35.598810337523275
Dense Cycle,dense_euler_cycle,100,500,0.39853399903222453,0.511227,0.7795636752992791
Dense Cycle,dense_euler_cycle,500,2500,1.4992500000516884,2.62369,0.5714280269588589
Dense Cycle,dense_euler_cycle,1000,5000,3.851704999760841,4.11436,0.9361613956388943
Dense Cycle,dense_euler_cycle,2000,10000,8.422375000009197,4.70042,1.7918345594668554
Dense Cycle,dense_euler_cycle,5000,25000,19.027142001505126,20.4567,0.9301178587702379
Dense Cycle,dense_euler_cycle,10000,50000,371.4882819986087,35.1388,10.572025282554005
Dense Cycle,dense_euler_cycle,20000,100000,297.2051670003566,75.6772,3.9272748859677233
Dense Cycle,dense_euler_cycle,50000,250000,475.12161699887656,174.808,2.7179626618854775
Dense Cycle,dense_euler_cycle,100000,500000,1063.367927001309,249.269,4.265945332156462
Random Graph,random,100,200,0.24167799892893527,0.067299,3.5911083215045583
Random Graph,random,500,1000,1.7248730000574142,0.774203,2.2279337590495185
Random Graph,random,1000,2000,2.9331949990591966,1.42403,2.0597845544400024
Random Graph,random,2000,4000,5.129179000505246,2.58589,1.9835255948649193
Random Graph,random,5000,10000,13.245819000076153,4.0313,3.285743804746894
Random Graph,random,10000,20000,27.073520999692846,14.4496,1.873651934980404
Random Graph,random,20000,40000,56.89086100028362,22.1346,2.570223134833411
Random Graph,random,50000,100000,577.1955899999739,43.0737,13.400185960341783
Random Graph,random,100000,200000,585.843267999735,122.601,4.778454237728362
